aubrey_identifier,aubrey_manifestations,aubrey_filesets,has_ocr_text,dc_type,dc_language,untl_collection,untl_institution,str_title_serial,display_title
ark:/67531/metapth443479,1,7,false,image_postcard,eng,SG13,MWHA,,[Souvenir Folding Post Card]
ark:/67531/metadc2015976,1,6,false,image_postcard,eng,VLC,UNTA,"Box 1: 1917-1919 : Folder 23: Post Cards - Various,Box 1: 1917-1919 : Folder 24: Post Cards - V.E. Lauderdale to Family\, 1918-09-22,Box 1: 1917-1919 : Folder 5: Instructions for Troops","[Letter from Victor Lauderdale to his father J.R Lauderdale, May 11, 1919]"
ark:/67531/metapth426891,1,5,false,image_postcard,eng,"SG13,JSHPC",WILLM,,[Photograph of Inez Sharpe]
ark:/67531/metapth443437,1,5,false,image_postcard,eng,SG13,MWHA,,[Folding Postcard of Landmarks]
ark:/67531/metapth443444,1,5,false,image_postcard,eng,SG13,MWHA,,[Folding Postcard of Mineral Wells Landmarks]
ark:/67531/metapth743085,1,5,false,image_postcard,eng,SG15,DPHF,,"[Postcard from Dewitt Hunt to Birdie Walters, June 26, 1907]"
ark:/67531/metadc947850,1,5,false,image_postcard,"chi,eng","DFBAKER,LGBT",UNTA,"Folder 5: Gays in Education\, Gay Teachers",[Postcard to Don Baker from Jennifer Parvin]
ark:/67531/metapth563136,1,5,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Beaumont]
ark:/67531/metapth562060,1,5,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Arizona]
ark:/67531/metapth562078,1,5,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Tucson]
ark:/67531/metapth562122,1,5,false,image_postcard,eng,THC,MFWHM,,[Postcard of Drawing of River in Beaumont With Boats]
ark:/67531/metapth562935,1,5,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Beaumont 2]
ark:/67531/metapth562348,1,5,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Catalina Island]
ark:/67531/metapth121613,1,4,false,image_postcard,eng,THC,DHVG,,[Postcard of the Texas State Fair]
ark:/67531/metapth573277,1,4,false,image_postcard,eng,"TBWP,SG14",PTBW,,[Souvenir Card for Bitter Creek School]
ark:/67531/metadc2015979,1,4,false,image_postcard,"eng,fre",VLC,UNTA,"Box 1: 1917-1919 : Folder 23: Post Cards - Various,Box 1: 1917-1919 : Folder 24: Post Cards - V.E. Lauderdale to Family\, 1918-09-22,Box 1: 1917-1919 : Folder 5: Instructions for Troops",[Pieces of a fragmented envelope belonging to a booklet]
ark:/67531/metadc2015968,1,4,false,image_postcard,"fre,eng",VLC,UNTA,"Box 1: 1917-1919 : Folder 23: Post Cards - Various,Box 1: 1917-1919 : Folder 24: Post Cards - V.E. Lauderdale to Family\, 1918-09-22,Box 1: 1917-1919 : Folder 5: Instructions for Troops",[Postcard and envelope from France during WWI]
ark:/67531/metapth1452274,1,4,false,image_postcard,"eng,ger",KEMP,ROSEL,Personal Papers (MS 80-0002),[Photographs of the Goldberger Family]
ark:/67531/metapth1419608,1,4,false,image_postcard,eng,KEMP,ROSEL,Personal Papers (MS 80-0002),"[Postal Card from Harris Leon Kempner to Thomas Leroy James, November 27, 1957]"
ark:/67531/metapth1131409,1,3,false,image_postcard,eng,SG17,JNTDW,,[Star Basketball Team Postcard]
ark:/67531/metapth443486,1,3,false,image_postcard,eng,SG13,MWHA,,[Folding Postcard of Chautauqua Building]
ark:/67531/metapth743410,1,3,false,image_postcard,eng,"SG15,TBWP,WWI",PTBW,,[Postcard of Panoramic of Camp MacArthur]
ark:/67531/metapth743664,1,3,false,image_postcard,eng,"SG15,WWII",PCCM,,[Postcard from Paul Gospine to Captain Charles R. Griggs]
ark:/67531/metapth562256,1,3,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Holden]
ark:/67531/metapth562556,1,3,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Montevideo 2]
ark:/67531/metapth562793,1,3,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of White Sulphur Springs]
ark:/67531/metapth562940,1,3,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Las Vegas]
ark:/67531/metapth562285,1,3,false,image_postcard,eng,THC,MFWHM,,[Fold Out Postcard of Montevideo]
ark:/67531/metapth556526,1,3,false,image_postcard,eng,SG14,PCMM,,"[H. E. Byrne, President Tyler Commercial College, Tyler, Texas]"
ark:/67531/metapth67086,1,3,false,image_postcard,eng,"SG09,SFHC",PCSF,,[Naval Auxiliary Air Station - Cabaniss Field Naval Air Training Center - Service Pamphlet]
ark:/67531/metapth530685,1,2,false,image_postcard,eng,SG14,SRH,,[Birthday Greeting Card]
ark:/67531/metapth530688,1,2,false,image_postcard,eng,SG14,SRH,,[Postcard from Medibel Bartley to Kate Thomas]
ark:/67531/metapth530731,1,2,false,image_postcard,eng,SG14,SRH,,[Postcard of Pueblo Gold and Country Club]
ark:/67531/metapth494405,1,2,false,image_postcard,spa,"SG13,MDID",MRPL,,[Postcard of Ramona Delgadio and Carman Lara]
ark:/67531/metapth494423,1,2,false,image_postcard,eng,"SG13,MDID",MRPL,,[Postcard of Cattle Ranchers]
ark:/67531/metapth494436,1,2,false,image_postcard,eng,"SG13,MDID",MRPL,,[Postcard of George Dawson and Friends]
ark:/67531/metapth494714,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Presidio Nuestra Señora de Loreto de la Bahía Photograph #1]
ark:/67531/metapth494764,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Gonzales Courthouse Photograph #1]
ark:/67531/metapth495304,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Witte-Williams House Photograph #2]
ark:/67531/metapth495311,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Witte-Williams House Photograph #4]
ark:/67531/metapth495314,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Steiner & Dallmeyer Building Photograph #3]
ark:/67531/metapth495321,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Washington County Courthouse Photograph #2]
ark:/67531/metapth495326,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Methodist Church Photograph #5]
ark:/67531/metapth495336,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,"[Brahan Lodge No. 226, A. F. & A. M. Photograph #1]"
ark:/67531/metapth495345,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Albert Kosub House Photograph #2]
ark:/67531/metapth495347,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Witte-Williams House Photograph #5]
ark:/67531/metapth495349,1,2,false,image_postcard,eng,RTHLF,THC,Independence Heritage Region,[Lay-Bozka House Photograph #2]
ark:/67531/metapth493940,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of Lake View Park]
ark:/67531/metapth493941,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of Christmas Tree]
ark:/67531/metapth493955,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,"[Postcard of Producing Wells in Mexia, Texas]"
ark:/67531/metapth494020,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of Lake View Park]
ark:/67531/metapth493752,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,"[Postcard of Ranger, Texas]"
ark:/67531/metapth493782,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of Lake View Park]
ark:/67531/metapth493784,1,2,false,image_postcard,nol,"TBWP,SG13",PTBW,,"[Postcard of Baptist Church in Eddy, Texas]"
ark:/67531/metapth493785,1,2,false,image_postcard,eng,"TCPC,TBWP,SG13",PTBW,,[Photograph of Axtell Railroad Station]
ark:/67531/metapth493794,1,2,false,image_postcard,eng,"TCPC,TBWP,SG13",PTBW,,[Postcard of Float at Texas Cotton Palace]
ark:/67531/metapth493826,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of San Solomon Swimming Pool]
ark:/67531/metapth493848,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,"[Postcard for Bastrop, Texas]"
ark:/67531/metapth493849,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of Mary Hardin-Baylor College]
ark:/67531/metapth493869,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Postcard of Brazos River Flood]
ark:/67531/metapth493886,1,2,false,image_postcard,eng,"TBWP,SG13",PTBW,,[Photograph of Glen Rose]
ark:/67531/metapth493911,1,2,false,image_postcard,eng,"TCPC,TBWP,SG13",PTBW,,[Photograph of the Slayden-Kirksey Woolen Mills Queen]
