aubrey_identifier,aubrey_manifestations,aubrey_filesets,has_ocr_text,dc_type,dc_language,untl_collection,untl_institution,str_title_serial,display_title
ark:/67531/metapth317618,1,12,true,text_newspaper,eng,"ABCM,ABREP,TDNP",ABPL,Abilene Daily Reporter,"The Abilene Daily Reporter (Abilene, Tex.), Vol. 25, No. 179, Ed. 1 Friday, November 30, 1923"
ark:/67531/metapth317627,1,12,true,text_newspaper,eng,"ABCM,ABREP,TDNP",ABPL,Abilene Daily Reporter,"The Abilene Daily Reporter (Abilene, Tex.), Vol. 25, No. 184, Ed. 1 Thursday, December 6, 1923"
ark:/67531/metapth885681,1,10,true,text_newspaper,eng,"TFG,TDNP,LAMNC",LAMPL,The Lampasas Leader,"The Lampasas Leader. (Lampasas, Tex.), Vol. 36, No. 8, Ed. 1 Friday, December 21, 1923"
ark:/67531/metapth884918,1,10,true,text_newspaper,eng,"TFG,TDNP,LAMNC",LAMPL,The Lampasas Leader,"The Lampasas Leader. (Lampasas, Tex.), Vol. 35, No. 14, Ed. 1 Friday, February 2, 1923"
ark:/67531/metapth884936,1,10,true,text_newspaper,eng,"TFG,TDNP,LAMNC",LAMPL,The Lampasas Leader,"The Lampasas Leader. (Lampasas, Tex.), Vol. 35, No. 21, Ed. 1 Friday, March 23, 1923"
ark:/67531/metapth884958,1,10,true,text_newspaper,eng,"TFG,TDNP,LAMNC",LAMPL,The Lampasas Leader,"The Lampasas Leader. (Lampasas, Tex.), Vol. 35, No. 25, Ed. 1 Friday, April 20, 1923"
ark:/67531/metadc2148123,1,9,true,text_newspaper,eng,"LSTRDS,ODNP",OKHS,The Stroud Messenger,"The Stroud Messenger (Stroud, Okla.), Vol. 25, No. 28, Ed. 1 Friday, December 21, 1923"
ark:/67531/metadc2162500,1,9,true,text_newspaper,eng,ODNP,OKHS,The Cleveland American,"The Cleveland American (Cleveland, Okla.), Vol. 13, No. 46, Ed. 1 Thursday, June 21, 1923"
ark:/67531/metadc281160,1,8,true,text_newspaper,eng,"TALOGA,ODNP",OKHS,Taloga Times-Advocate,"Taloga Times-Advocate (Taloga, Okla.), Vol. 29, No. 50, Ed. 1 Thursday, May 24, 1923"
ark:/67531/metadc281172,1,8,true,text_newspaper,eng,"TALOGA,ODNP",OKHS,Taloga Times-Advocate,"Taloga Times-Advocate (Taloga, Okla.), Vol. 30, No. 24, Ed. 1 Thursday, November 22, 1923"
